ACCESSION_NUMBER	CIK	REGISTRANT_NAME	FILE_NUM	LEI	ADDRESS1	ADDRESS2	CITY	STATE	COUNTRY	ZIP	PHONE
0001193125-25-293282	0000039473	American Funds Fundamental Investors	811-00032	RCVUC3QKUPM8R6R24U95	6455 Irvine Center Drive		Irvine	US-CA	US	92618-4518	9499755000
0000035402-25-002272	0000831016	Variable Insurance Products Fund II	811-05511	D8TUF5IXYLDDLCD6AV58	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0001099263-25-003622	0000858581	T. ROWE PRICE INDEX TRUST, INC.	811-05986	549300DT5TB0WREU3681	1307 Point Street		Baltimore	US-MD	US	21231	410-345-2000
0001099263-25-001808	0001177017	T. ROWE PRICE RETIREMENT FUNDS, INC.	811-21149	549300NPW1X3GQMKCN90	1307 Point Street		Baltimore	US-MD	US	21231	410-345-2000
0000035402-25-001335	0000722574	Fidelity Advisor Series I	811-03785	C7J4FOV6ELAVE39B7M82	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0001193125-25-293324	0000858744	SMALLCAP World Fund Inc	811-05888	QUU75Y6VVBVQ4LBGTL77	6455 Irvine Center Drive		Irvine	US-CA	US	92618	9499755000
0000940400-25-010641	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0000035402-25-001381	0000819118	Fidelity Concord Street Trust	811-05251	EEX0N4ID1C226M44VF22	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0000035402-25-001485	0001364924	Fidelity Rutland Square Trust II	811-21991	1KZ3JN58GDRI3EZKKG06	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0001410368-25-028395	0001137360	VanEck ETF Trust	811-10325	549300ZLFKNTXC51ZN76	666 THIRD AVENUE, 9TH FLOOR		NEW YORK	US-NY	US	10017	212-293-2000
0001193125-25-293319	0000719603	EUPAC Fund	811-03734	77WINTZWMLWP62JWI085	333 South Hope Street	55th Floor	Los Angeles	US-CA	US	90071-1406	9499755000
0002071691-25-006423	0000038721	Franklin Custodian Funds	811-00537	549300PYEMTLTOE2MK86	One Franklin Parkway		San Mateo	US-CA	US	94403-1906	650-312-2000
0001003715-25-001305	0001724826	SIX CIRCLES TRUST	811-23325	549300NG19QZK8S0N704	383 Madison Ave	NULL	NY	US-NY	US	10179	212-464-2070
0001410368-25-017836	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0001410368-25-017902	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0000035402-25-001447	0000035315	Fidelity Salem Street Trust	811-02105	S4W85DGKOEJ24DPRB829	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0000035402-25-001478	0001364924	Fidelity Rutland Square Trust II	811-21991	1KZ3JN58GDRI3EZKKG06	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0000794105-25-000143	0000794105	VANGUARD BOND INDEX FUNDS	811-04681	549300INE5BF80OGAZ51	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0001003715-25-001332	0001567101	Bridge Builder Trust	811-22811	549300MZGMJ1KD5SOK80	12555 Manchester Road	NULL	St. Louis	US-MO	US	63131	314-515-2000
0001003715-25-001337	0001567101	Bridge Builder Trust	811-22811	549300MZGMJ1KD5SOK80	12555 Manchester Road	NULL	St. Louis	US-MO	US	63131	314-515-2000
0000894189-25-015336	0001282693	Baird Funds Inc	811-09997	5493007JR2NWYBC7PO06	777 East Wisconsin Avenue		Milwaukee	US-WI	US	53202	4147653614
0001193125-25-293563	0000729528	AMERICAN FUNDS INSURANCE SERIES	811-03857	5493006ZFTN01BKM5294	333 South Hope Street	55th Floor	Los Angeles	US-CA	US	90071	9499755000
0001004726-25-002059	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0000035402-25-002118	0000024238	Fidelity Contrafund	811-01400	S5Y3O6VQ0TG5C3WLJP73	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0000035402-25-002136	0000024238	Fidelity Contrafund	811-01400	S5Y3O6VQ0TG5C3WLJP73	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0001410368-25-022019	0001028621	TCW Metropolitan West Funds	811-07989	549300KGDNJW6FXNDC82	METROPOLITAN WEST ASSET MANAGEMENT	865 S. FIGUEROA STREET, SUITE 2100	LOS ANGELES	US-CA	US	90017	800-241-4671
0000777535-25-000037	0000777535	College Retirement Equities Fund	811-04415	549300W86TWR1A52Z652	730 Third Avenue		New York	US-NY	US	10017	212-490-9000
0000940400-25-010613	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0001003715-25-001032	0000866256	Parnassus Funds II	811-06673	25490076SJ8OS37PWC23	1 Market Street	Suite 1600	San Francisco	US-CA	US	94105	415-778-0200
0001410368-25-017881	0000930667	iShares, Inc.	811-09102	549300MGJZCNMJLBAJ67	400 HOWARD STREET		SAN FRANCISCO	US-CA	US	94105	800-474-2737
0001193125-25-293305	0000004568	American Balanced Fund	811-00066	L8DP8S00A6XHCCDH3332	6455 Irvine Center Drive		Irvine	US-CA	US	92618	9499755000
0001193125-25-293318	0000071516	New Perspective Fund	811-02333	MVJJ5XRND2TZ5KBTXC77	333 South Hope Street	55th Floor	Los Angeles	US-CA	US	90071-1406	9499755000
0001193125-25-293287	0001655146	American Funds Strategic Bond Fund	811-23101	549300WL12I3ETOMST62	6455 Irvine Center Drive		Irvine	US-CA	US	92618	9499755000
0002071691-25-006469	0000805650	Franklin Managed Trust	811-04894	549300ABVE9PHQM3RW65	One Franklin Parkway		San Mateo	US-CA	US	94403-1906	650-312-2000
0002071691-25-006501	0000038721	Franklin Custodian Funds	811-00537	549300PYEMTLTOE2MK86	One Franklin Parkway		San Mateo	US-CA	US	94403-1906	650-312-2000
0000105544-25-000027	0000105544	VANGUARD WELLESLEY INCOME FUND	811-01766	549300OJL7R1C308TV02	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0000036405-25-000239	0000036405	VANGUARD INDEX FUNDS	811-02652	549300G6KNDK44WUN559	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0000036405-25-000243	0000036405	VANGUARD INDEX FUNDS	811-02652	549300G6KNDK44WUN559	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0000036405-25-000240	0000036405	VANGUARD INDEX FUNDS	811-02652	549300G6KNDK44WUN559	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0000052848-25-000256	0000052848	VANGUARD WORLD FUND	811-01027	549300MP6BT0L4Q61L10	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0002071691-25-003738	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0001099263-25-003630	0000902259	T. ROWE PRICE BLUE CHIP GROWTH FUND, INC.	811-07059	549300AFWM3W7E3ROZ97	1307 Point Street		Baltimore	US-MD	US	21231	410-345-2000
0001099263-25-003601	0000080257	T. ROWE PRICE GROWTH STOCK FUND, INC.	811-00579	549300T93P415WTRW320	1307 Point Street		Baltimore	US-MD	US	21231	410-345-2000
0001193125-25-293559	0000729528	AMERICAN FUNDS INSURANCE SERIES	811-03857	5493006ZFTN01BKM5294	333 South Hope Street	55th Floor	Los Angeles	US-CA	US	90071	9499755000
0001193125-25-293564	0000729528	AMERICAN FUNDS INSURANCE SERIES	811-03857	5493006ZFTN01BKM5294	333 South Hope Street	55th Floor	Los Angeles	US-CA	US	90071	9499755000
0000036405-25-000237	0000036405	VANGUARD INDEX FUNDS	811-02652	549300G6KNDK44WUN559	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0000752177-25-000264	0000752177	VANGUARD CHESTER FUNDS	811-04098	54930034NOOD3YDKBZ64	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0001099263-25-003640	0000927845	T. ROWE PRICE VALUE FUND, INC.	811-07209	549300EW4YHV7OVARC82	1307 Point Street		Baltimore	US-MD	US	21231	410-345-2000
0000035402-25-001403	0000081205	Fidelity Puritan Trust	811-00649	WDA1I420M36T9HTVU696	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0000035402-25-002187	0000880195	Fidelity Aberdeen Street Trust	811-06440	EH5MGE941XHR05KZ4E50	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0000862084-25-000080	0000862084	VANGUARD INSTITUTIONAL INDEX FUNDS	811-06093	549300HU31ENFT74XN04	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0000036405-25-000238	0000036405	VANGUARD INDEX FUNDS	811-02652	549300G6KNDK44WUN559	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0000035402-25-001386	0000819118	Fidelity Concord Street Trust	811-05251	EEX0N4ID1C226M44VF22	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0000035402-25-001416	0000035315	Fidelity Salem Street Trust	811-02105	S4W85DGKOEJ24DPRB829	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0000035402-25-001441	0000819118	Fidelity Concord Street Trust	811-05251	EEX0N4ID1C226M44VF22	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0000035402-25-001440	0000819118	Fidelity Concord Street Trust	811-05251	EEX0N4ID1C226M44VF22	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0002071691-25-004164	0000763852	JPMorgan Trust II	811-04236	549300IMXLYKELY96B40	277 Park Avenue		New York	US-NY	US	10172	800-480-4111
0001410368-25-032041	0001064642	SPDR SERIES TRUST	811-08839	5493004JVD6CQEEJSS37	One Iron Street		Boston	US-MA	US	02210	617-664-8594
0001193125-25-293283	0000051931	Investment Co of America	811-00116	ESMT10R1J5REBJX2N406	333 South Hope Street	55th Floor	Los Angeles	US-CA	US	90071-1406	9499755000
0000752177-25-000254	0000752177	VANGUARD CHESTER FUNDS	811-04098	54930034NOOD3YDKBZ64	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0000036405-25-000235	0000036405	VANGUARD INDEX FUNDS	811-02652	549300G6KNDK44WUN559	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0000036405-25-000242	0000036405	VANGUARD INDEX FUNDS	811-02652	549300G6KNDK44WUN559	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0000794105-25-000140	0000794105	VANGUARD BOND INDEX FUNDS	811-04681	549300INE5BF80OGAZ51	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0000036405-25-000244	0000036405	VANGUARD INDEX FUNDS	811-02652	549300G6KNDK44WUN559	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0000752177-25-000265	0000752177	VANGUARD CHESTER FUNDS	811-04098	54930034NOOD3YDKBZ64	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0001410368-25-017036	0000783740	MFS SERIES TRUST X	811-04492	5493001MUVNRNUPJY164	111 HUNTINGTON AVENUE		BOSTON	US-MA	US	02199	617-954-5000
0001193125-25-296899	0001480207	DoubleLine Funds Trust	811-22378	549300MUFFXFRMY0RH66	2002 North Tampa Street	Suite 200	Tampa	US-FL	US	33602	813-791-7333
0001410368-25-032147	0000893818	BlackRock Funds III	811-07332	5493008LW2651I1QB503	100 Bellevue Parkway		Wilmington	US-DE	US	19809	800-441-7762
0000036405-25-000236	0000036405	VANGUARD INDEX FUNDS	811-02652	549300G6KNDK44WUN559	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0001004726-25-002043	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0000862084-25-000081	0000862084	VANGUARD INSTITUTIONAL INDEX FUNDS	811-06093	549300HU31ENFT74XN04	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0000889519-25-000042	0000889519	VANGUARD VALLEY FORGE FUNDS	811-58431	549300FUTH8HHBEZCJ03	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0000836906-25-000266	0000836906	VANGUARD MALVERN FUNDS	811-05628	549300EW16IGZDA38J20	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0000052848-25-000265	0000052848	VANGUARD WORLD FUND	811-01027	549300MP6BT0L4Q61L10	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0001021882-25-000204	0001021882	VANGUARD SCOTTSDALE FUNDS	811-07803	549300Y88GQ3VLJIBX57	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0001021882-25-000198	0001021882	VANGUARD SCOTTSDALE FUNDS	811-07803	549300Y88GQ3VLJIBX57	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0001099263-25-003615	0000793347	T. ROWE PRICE CAPITAL APPRECIATION FUND, INC.	811-04519	549300KKOU6DV2L9SH58	1307 Point Street		Baltimore	US-MD	US	21231	410-345-2000
0002071691-25-007634	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0000035402-25-002202	0000061397	Fidelity Magellan Fund	811-01193	XCODUEQ0D4XIOT1T8X44	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0000036405-25-000241	0000036405	VANGUARD INDEX FUNDS	811-02652	549300G6KNDK44WUN559	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0000794105-25-000139	0000794105	VANGUARD BOND INDEX FUNDS	811-04681	549300INE5BF80OGAZ51	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0000894189-25-015338	0001282693	Baird Funds Inc	811-09997	5493007JR2NWYBC7PO06	777 East Wisconsin Avenue		Milwaukee	US-WI	US	53202	4147653614
0001410368-25-031954	0001064641	SELECT SECTOR SPDR TRUST	811-08837	5493008JJKIPMEX3CO91	One Iron Street		Boston	US-MA	US	02210	866-732-8673
0000777535-25-000040	0000777535	College Retirement Equities Fund	811-04415	549300W86TWR1A52Z652	730 Third Avenue		New York	US-NY	US	10017	212-490-9000
0001410368-25-032026	0001064642	SPDR SERIES TRUST	811-08839	5493004JVD6CQEEJSS37	One Iron Street		Boston	US-MA	US	02210	617-664-8594
0001410368-25-031962	0000884394	SPDR S&P 500 ETF TRUST	811-06125	549300NZAMSJ8FXPQQ63	11 WALL STREET	PDR SERVICES LLC C/O NYSE EURONEXT	New York	US-NY	US	10005	212-656-4440
0000052848-25-000312	0000052848	VANGUARD WORLD FUND	811-01027	549300MP6BT0L4Q61L10	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0001193125-25-299121	0000029440	Dodge & Cox Funds	811-00173	549300R3H2V5UI5MR803	555 California Street	40th Floor	San Francisco	US-CA	US	94104	415-981-1710
0000752177-25-000261	0000752177	VANGUARD CHESTER FUNDS	811-04098	54930034NOOD3YDKBZ64	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0000035402-25-002218	0001401097	Fidelity Central Investment Portfolios II LLC	811-22083	0VPAEPVECBYQ0ULYZJ60	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0000035402-25-001446	0000751199	Fidelity Income Fund	811-04085	D66RCKM57LC8ELZCAY58	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0001410368-25-017270	0001454889	SCHWAB STRATEGIC TRUST	811-22311	549300NAZEQOIX80E226	211 MAIN STREET		SAN FRANCISCO	US-CA	US	94105	800-648-5300
0001410368-25-017275	0001454889	SCHWAB STRATEGIC TRUST	811-22311	549300NAZEQOIX80E226	211 MAIN STREET		SAN FRANCISCO	US-CA	US	94105	800-648-5300
